涉	しょう,わたる
逸仁	いっと,はやと
逸生	いっき,はやお
逸多	いった,はやた
逸太	いちた,いった,はやた
逸大	はやた,はやと
逸斗	いっと,はやと,まさと,やすと
逸登	いっと,はやと
逸都	いっと,はやと
逸翔	いっと,はやと
允基	みつき,よしき
允貴	まさたか,みつき,みつたか
允康	のぶやす,まさやす
允克	さねよし,まさよし
允哉	のぶや,みつや
允司	じょうじ,まさし
允史	まさし,まさふみ
允志	じょうじ,まさし
允人	まさと,よしと,よしひと
允彦	ただひこ,のぶひこ,まさひこ,みつひこ,よしひこ
允文	ただふみ,まさふみ
允也	まさや,みつなり
允朗	みつあき,みつろう
允皓	ただひろ,まさひろ
胤仁	かずのり,かずひと
映光	あきみつ,えいこう
映臣	てるおみ,はるおみ
映成	えいせい,はるなり
映多	えいた,はるた
映太	えいた,はるた
映彦	てるひこ,はるひこ,みつひこ
栄喜	しげき,はるき,ひでき
栄季	はるき,ひでき
栄稀	しげき,はるき,はるま
栄紀	はるき,よしひろ
栄規	はるき,よしき
栄吉	えいきち,てるき,はるゆき
栄慶	ひでよし,まさちか,まさよし
栄光	えいこう,よしひろ
栄公	えいこう,よしひろ
栄孝	えいこう,しげたか,ひでたか
栄幸	えいし,しげき
栄哉	ともや,はるや,よしや
栄士	たかし,たかと,はると,ひでと,ひろし,ひろと,まさし,まさと
栄寿	ひでとし,よしひろ
栄樹	しげき,はるき,ひでき
栄伸	えいしん,はるのぶ,ひろのぶ
栄信	えいし,えいしん,しげのぶ
栄真	えいま,はるま
栄臣	てるおみ,はるおみ
栄人	はると,ひでと,ひでひと,よしひと
栄仁	しげと,たかひと,はると,ひでと,よしと,よしひと,よしひろ
栄太	えいた,はるた
栄汰	えいた,はるた
栄大	えいた,たかひろ,はるた
栄斗	はると,ひでと
栄徳	しげのり,はるのり
栄之介	えいのすけ,はるのすけ
栄範	ひさのり,ひでのり,ひろのり
栄彦	しげひこ,てるひこ,はるひこ,ひでひこ,よしひこ
栄夫	ひでお,よしお
栄磨	えいま,はるま
栄明	しげあき,はるあき,よしあき
栄也	ともや,ひでなり
栄弥	ともや,ひでや,ひろや,よしひろ
栄皓	よしてる,よしひろ
栄翔	えいしょう,たかと,はると,ひさと,ひでと,まさと
永輝	とおき,とき
永恭	えいすけ,ようや
永虎	のりたけ,ひさと
永光	えいこう,ひさみつ
永行	はるゆき,ひさゆき
永士郎	えいしろう,えいじろう
永志	えいし,ひさし,ひさゆき
永将	えいしょう,えいすけ,のぶまさ
永真	えいしん,えいま,とうま,とおま,はるま
永誠	えいせい,とうま
永典	えいすけ,ひさのり
永馬	えいま,とうま
永麻	えいま,とうま
永也	とうや,とおや,のりや,ひさや
永晟	えいせい,ようせい
永眞	えいま,とうま
永翔	えいしょう,はると
瑛一	あきひと,ひでかず,よういち
瑛允	えいすけ,てるまさ
瑛介	えいすけ,ようすけ
瑛貴	あきたか,てるき
瑛輝	あきてる,てるき
