叶夢	かなと,かむい
乾	かん,けん
侃	かん,すなお,なお
完	かん,ひろ
官	つかさ,ひろ
寛	かん,とも
幹	とも,まさ
緩	かん,ひろ
鑑	あきら,かん
喜	とし,よし
喜一	きいち,はるひ
喜生	きお,ひさき
喜陽	きはる,はるひ
希拓	きせき,まひろ
希望	そら,ひかり
希洋	きひろ,のぞみ
稀央	きお,まひろ
稀弘	きひろ,まひろ
稀大	きお,まひろ
稀優	きひろ,まひろ
紀	おさむ,とし
輝	こう,てる
輝音	あきと,ねおん
輝希	いつき,こうき
輝空	あきと,そら
輝生	あきお,こうき
輝琉	てる,ひかる
義	あき,いさ,とも,よし
亨	こう,とし
享	あき,あきら,たか,りょう
京	あると,おさむ
競	きょう,けい
匡	こう,まさ
卿	あきら,きょう,けい
興	こう,とも
仰	あお,こう
尭	あき,あきら
暁	あきお,とし
吟	あきら,ぎん
空	あきら,かける,こう,すかい,たか
空羽	そう,そわ
空我	くうが,そうわ
空貴	あき,こうき
空輝	あきら,くうが,こうき
空樹	あき,こうき
空晴	あせい,そらは
空大	あお,あらた
空飛	あきと,あさひ
空夢	くう,くうが
空也	あきなり,くうや
空翔	あきと,くうが,そら
啓音	あきと,けいと
啓司	けいし,けいじ
啓史	けいし,けいじ
啓嗣	けいし,けいじ
啓士	けいし,けいじ,けいと
啓志	けいし,けいじ
啓詞	けいし,けいじ
啓示	けいし,けいじ
啓樹	けいき,けいじゅ
啓人	あきと,けいと
啓仁	あきと,けいじ,けいと
啓生	あきお,けい
啓聡	あきと,けいと
啓斗	あきと,けいと
啓之	けいし,けいじ
圭	きよし,よし
圭司	けいし,けいじ
圭史	けいし,けいじ
圭士	けいし,けいじ
圭志	きよし,けいし,けいじ
圭至	けいし,けいじ
圭治	けいし,けいじ
圭寿	かず,けいじゅ
圭樹	けいき,けいじゅ
圭之	けいし,けいじ
恵司	けいし,けいじ
恵史	けいし,けいじ
恵嗣	けいし,けいじ
恵士	あやと,けいし,けいと
恵仁	あやと,けいと
恵土	えいと,けいと
慶	けいや,よし
慶司	けいし,けいじ
慶史	けいし,けいじ
慶士	けいし,けいじ,けいと
慶志	けいし,けいじ
慶寿	けいじ,けいじゅ
慶仁	けいじ,けいと
慧司	けいし,けいじ
慧士	けいし,けいと
慧樹	けいき,けいじゅ
敬	たか,ひろ
敬喜	いつき,けいき
敬貴	いつき,けいき
敬司	けいし,けいじ
敬史	けいし,けいじ
敬士	あつし,けいし,けいじ,けいと
敬志	けいし,けいじ,ゆきじ
敬詩	けいし,けいじ
敬樹	けいき,けいじゅ
敬仁	あきと,けいじ,けいと
敬斗	あきと,けいと
景士	けいし,けいじ,けいと
景樹	けいき,けいじゅ
桂史	けいし,けいじ
桂士	けいし,けいじ,けいと
経	おさむ,きょう,けい
計生	かずお,かずき
憲	あきら,かず,けん
懸	かける,けん
検	あらた,けん
謙	あき,けん
賢	あきら,けん,たか,まさ,よし
顕	あき,あきら,けん
元	とも,はる,もと
元陽	あさひ,はるひ
厳	いつき,ひろ
玄	けん,のり,はる,ひろ
虎羽	こう,とわ
吾生	あお,あせい
光	てる,ひろ,らい
光音	あきと,あると
光史	あきふみ,けいし,こうじ
光樹	こうき,こうじゅ
光生	あきお,こう,こうき
光來	こうき,みらい
公	あきら,たか,なお,ひろ,まさ
功	おさむ,こう,なる
功基	いさき,こうき
功季	いさき,こうき
功己	いさみ,こうき
功士	あつし,こうじ
功樹	いさき,こうき,こうじゅ
功弥	いさみ,くうや
功暉	いさき,こうき
厚	あつし,こう,ひろ
厚希	あつき,こうき
厚輝	あつき,こうき
厚司	あつし,こうじ
向輝	こうき,ひさき
孝	あつし,きょう,こう,よし
孝基	あつき,こうき
孝樹	こうき,こうじゅ
工	こう,つかさ
巧	こう,よし
幸次	こうじ,ゆきじ
幸治	こうじ,ゆきじ
幸生	こう,こうき
幸二	こうじ,ゆきじ
恒樹	こうき,こうじゅ
攻	おさむ,こう
昂	あきら,たか
昂輝	あき,こうき
昂士	あきと,こうじ
昂樹	こうき,こうじゅ
晃	あき,こう,てる
晃輝	ある,こうき
晃史	あきふみ,こうじ
晃士	あきと,こうじ
晃樹	こうき,こうじゅ
晃生	あきお,こう,こうき
晃来	あきら,こうき
晃嵐	あきら,あらん
晃煌	あきら,こうき
更	あらた,こう
洪	こう,ひろ
浩己	こうき,ひろみ
皇児	おうじ,こうじ
紘己	こうき,ひろみ
耕	おさむ,きょう,こう
航喜	かずき,こうき
航希	かずき,こうき
航紀	かずき,こうき
航輝	かずき,こうき
航樹	かずき,こうき
航生	かずき,こう,こうき
航来	かずき,こうき
航來	かずき,こうき
行	あきら,こう
行二	あんじ,こうじ,ゆきじ
衡	こう,ひろ
高	こう,たか
剛	こう,たか
剛海	たけみ,まさみ
合希	あいき,あいき
克	かつみ,なり,よし
克樹	かつき,かづき
哉	えい,なり
哉叶	えいと,かなと
哉人	えいと,かなと
哉仁	えいじ,えいと,かなと
哉斗	えいと,かなと
宰	おさむ,つかさ
彩人	あいと,あやと
彩翔	あいと,あやと
才	とし,まさ
在音	あおと,あきと,あると
桜生	おうせい,はるみ
皐樹	こうき,こうじゅ
司音	かずね,しおん
士	あきら,おさむ
子音	しおん,ねおん
糸樹	しき,しのぶ
慈	いつき,なり,よし
慈生	いつき,しき
実	のり,よし
実士	まこと,みのり
主馬	あるま,かずま
寿葵	じゅき,ひさき
寿希	かずき,じゅき
寿紀	かずき,じゅき
寿輝	かずき,じゅき,ひさき
寿騎	かずき,じゅき
寿樹	かずき,じゅき
寿來	じゅき,ひさき
樹輝	いつき,じゅき
樹生	いつき,じゅき
樹來	いつき,じゅき
周	のり,ひろ,まこと
宗	そう,つかさ,ひろ
修	おさむ,なお
秋	おさむ,とし
秋輝	あき,あきと
充希	あつき,みづき
充貴	あき,あつき
俊	しゅん,とし
春	あきら,あずま,しゅん
舜	しゅん,とし
駿	かける,しゅん,とし
淳	あき,あつ,あつし,しゅん
淳志	あつし,きよし
純	あつ,あつし,しゅん
純人	あやと,まこと
順	しゅん,すなお,とし
勝	まさ,よし
勝月	かつき,かづき
勝己	かつみ,まさみ
勝巳	かずみ,かつみ,まさみ
小林	いつき,いぶき
彰士	あきと,あやと
彰仁	あきと,あやと
彰登	あきと,あやと
昌	あきら,さかえ
昌生	あきお,あつき
昭	あき,あきら,てる,はる
照	あき,あきら,てる,ひかる
祥	あきら,ひろ,よし
章	あきら,とし
章人	あきと,あやと
章斗	あきと,あやと
章登	あきと,あやと
章翔	あきと,あやと
丈美	たけみ,ひろみ
信	あき,あきら,しのぶ,しん,とし,まさ
信人	あきと,まこと
心羽	あいと,こう
慎	しん,まこと
新	あき,しん,ねお
真	しん,まさ
真仁	まこと,まひろ
神	あお,しん
臣	しん,たか
人吾	とあ,とわ
仁	ひろ,まさ,よし
崇	そう,たか
数実	かずま,かずみ
数生	かずお,かずき
澄	きよし,ますみ
澄志	きよし,とし
世生	せい,せな
瀬生	せい,せな
征	せい,まさ,もと
成	あきら,おさむ,せい,なり
政	すなお,せい,まさ
星	せい,とし
晴	あきら,きよし,せい,てる,なり
晴一	はるか,はるひ
晴成	せな,はるせ
正	あきら,せい,まこと,まさ
清	きよし,しん,せい
生	あり,せい
精	せい,まこと
聖	きよし,せい,まさ
聖音	あきと,しおん
聖輝	いぶき,こうき
誠	あきら,せい,とも,なる,まさ
誠士	あきと,まこと
誠人	あきと,まこと
誠仁	あきと,まこと
誠斗	あきと,まこと
誠登	あきと,まこと
誠巳	なるみ,まさみ
誠翔	あきと,まこと
青	あおし,せい
青空	すかい,はる,はるか
青士	あおし,あおと
静	せい,よし
節	おさむ,まこと
先	せん,ひろ
千栄	ちはる,ちひろ
千海	かずみ,ちかい
宣	せん,ひろ
専	あつし,せん
閃	せん,ひかる
壮	そう,まさ
壮士	あきお,あきと
壮和	そあ,そうわ
奏	かなう,かなた,かなる,そう
奏羽	そう,そうは,そうわ
奏海	かいと,かなた
奏夢	かなう,らいむ
奏優	かなう,そう
奏羅	そうら,そら
奏和	かなと,そあ,そうわ
奏樂	かなた,そら
爽	あきら,そう
爽羽	そう,そうわ
爽士	あきお,あきと
想羽	そう,そうは
曹	そう,とも
聡	あき,あさと,そう,とし
聡士	あきお,あきと
蒼	あおし,そう,そら
蒼羽	そう,そうは,そうわ
蒼音	あおい,あおと
蒼桔	あいき,あおき
蒼絃	あおい,あおと
蒼士	あお,あおい,あおし,あおと
蒼至	あおし,あゆき
蒼心	あいと,あおし,ひろみ
蒼生	あおき,あおば,いぶき,そう,そうは,ひろみ
蒼大	あお,あおい,あおと
蒼和	あお,あおと,そうわ
走	かける,そう
蔵	おさむ,そう
太	だい,ひろ,もと
泰	あきら,だい,ひろ
大	しん,だい,とも
大雅	おうが,だいあ
大空	かなた,そなた,だいあ
大翔	おうが,はるか
知	かず,とし,のり
智	あきら,もと
忠	あつし,きよし,すなお,まこと
朝人	あさと,あさひ
禎	とも,よし
諦	あきら,まこと
哲	あき,あきら,のり
徹	あきら,おさむ
天	たか,てん
天空	かなた,そあら,そら
展	あつし,てん,ひろ
斗吾	とあ,とわ
都吾	とあ,とわ
東	あきら,あずま,はる
燈志	あかし,とし
統	おさむ,のり,もと
徳	あつし,なり,なる,のり,めぐむ,よし
篤	あつ,あつし,ひろ
惇	あつし,しゅん,まこと
敦	あつ,あつし,おさむ
凪勇	なお,なぎさ
覇	はく,はる
白	きよし,はく
隼	しゅん,とし
飛翔	つばさ,とわ
柊季	いぶき,ひいらぎ
彦	ひろ,よし
桧	いぶき,かい
彪	あきら,いぶき
彪叶	あきと,あやと
彪人	あきと,あやと
彪生	あやお,いぶき
彪斗	あきと,あやと
彪杜	あきと,あやと
彪翔	あきと,あやと
彬斗	あきと,あやと
彬杜	あきと,あやと
文人	あきと,あやと
碧	あおと,しおん
碧喜	あおき,たまき
碧季	あおき,たまき
碧貴	あおき,たまき
碧輝	あおき,たまき
碧士	あいと,あお,あおし,あおと
碧時	あおし,あおと
碧真	あいま,あおし
碧人	あいと,あおと
碧生	あいき,あお,あおき,あおば
碧大	あいと,あお,あおい,あおき,あおと
碧斗	あいと,あおと
碧翔	あおと,あゆと
歩叶	あいと,あゆと
歩輝	あゆき,いぶき
歩士	あゆと,あると,ふじ,ほし
歩志	あゆむ,ほし
歩人	あゆと,あると
歩仁	あゆと,あると
歩説	あゆと,あると
歩杜	あゆと,あると
