髙	こう,たか
依田	いだ,よだ,よりた
為久	いきゅう,ためひさ
衣川	きぬかわ,きぬがわ,ころもがわ
衣袋	いふくろ,いぶくろ
衣斐	いび,えひ,えび,えみ
井	い,いい,いづつ,いのもと,さらい
井ノ口	いのくち,いのぐち
井ヶ田	いけだ,いげた
井越	いこし,いごし
井延	いのぶ,いのべ
井奥	いおく,いのおく
井岡	いおか,いのおか
井貝	いかい,いがい
井街	いがい,いまち
井関	いせき,いぜき
井汲	いくみ,いぐみ
井元	いのもと,いもと
井原	いはら,いばら
井戸川	いとがわ,いどかわ,いどがわ
井戸田	いとだ,いどた
井口	いぐち,いのくち,いのぐち
井高	いたか,いだか
井合	いあい,いごう
井黒	いくろ,いぐろ
井崎	いさき,いざき
井手	いて,いで
井手上	いでうえ,いでがみ
井手田	いてだ,いでた
井出上	いでうえ,いでがみ
井上	いかみ,いのうえ
井城	いいき,いき,いのしろ
井植	いうえ,いのうえ
井尻	いじり,いのしり
井神	いかみ,いがみ,いのかみ
井水	いすい,いみず
井生	いお,いおい,いおう,いのいけ
井石	いいし,いせき
井川	いかわ,いがわ
井倉	いくら,いぐら,いのくら
井沢	いさわ,いざわ
井地	いじ,いぢ
井塚	いつか,いづか
井爪	いづめ,いのつめ
井土	いづち,いど
井島	いしま,いじま
井藤	いとう,いふじ
井内	いうち,いない,いのうち
井之口	いのくち,いのぐち
井波	いなみ,いば
井畑	いはた,いばた
井樋	いとい,いび
井尾	いお,いのお
井辺	いべ,いんべ
井堀	いほり,いぼり
井本	いのもと,いもと
井面	いづら,いのも
井門	いかど,いど,いもん
井脇	いのわき,いわき
井澤	いさわ,いざわ
井邊	いなべ,いんべ
磯谷	いそがい,いそがや,いそたに,いそや
磯内	いそうち,いそち
磯畑	いそはた,いそばた
一	いち,にのまえ,はじめ
一井	いちい,いちのい,ひとつい
一家	いっか,ひとつや
一花	いちはな,いっか
一角	いちかく,いちずみ
一宮	いちのみや,いちみや
一鍬田	ひとくわた,ひとくわだ
一見	いちみ,かずみ
一戸	いちのえ,いちのへ
一志	いちし,いっし
一氏	いちうじ,ひとうじ,ひとじ
一尺八寸	かまつか,かまづか
一松	いちまつ,ひとまつ
一上	いちかみ,いちがみ
一色	いしき,いっしき
一杉	いちすぎ,ひとすぎ
一寸木	ちょっき,ますぎ
一瀬	いちせ,いちのせ,いっせ
一青	しとと,ひとと
一番ヶ瀬	いちばかせ,いちばんがせ
一番合戦	いちばんがせ,いちばんがっせん,いちまかせ
一筆	いっぴつ,ひとふで
一方井	いちかたい,いっかたい,いつかたい
一法師	いちほうし,いっぽうし
一本	いちもと,ひともと
一木	いちき,いつき,ひとき
一柳	いちやなぎ,いちりゅう,ひとつやなぎ
壱崎	いちさき,いちざき
逸見	いつみ,へんみ
逸崎	いつさき,いつざき
稲	いな,いね
稲井	いない,いねい
稲永	いななが,いねなが
稲熊	いなくま,いなぐま
稲継	いなつぎ,いなつぐ
稲月	いなつき,いなづき,いねづき
稲崎	いなさき,いなざき
稲山	いなやま,いねやま
稲子	いなこ,いなご
稲次	いなじ,いなつぎ
稲手	いなて,いなで
稲生	いなお,いなぶ,いのう,いのお
稲積	いなずみ,いなづみ
稲川	いなかわ,いながわ
稲谷	いなたに,いなや
稲津	いなず,いなつ,いなづ
稲塚	いなつか,いなづか
稲田	いなた,いなだ
稲波	いななみ,いなば,いなみ
稲畑	いなはた,いなばた
稲富	いなとみ,いなどみ
稲毛	いなげ,いなも
稲毛田	いなげた,いなげだ
稲木	いなき,いなぎ
稲野	いなの,いねの
稲留	いなとめ,いなどめ
稲澤	いなさわ,いなざわ
茨田	ばらた,ばらだ,まんだ
茨木	いばらき,いばらぎ,ばらき
芋生	いもう,いもお
印東	いんとう,いんどう
因	いん,ちなみ
引地	ひきじ,ひきち,ひきぢ
引田	ひきた,ひきだ
引頭	いんとう,いんどう
陰地	おおじ,おおぢ,おんじ
陰能	いんの,いんのう
隠田	おんだ,かくれだ
右井	うい,みぎい
右手	うて,みぎて
右川	うかわ,うがわ
宇髙	うたか,うだか,うだが
宇栄原	うえはら,うえばる
宇賀	うか,うが
宇賀神	うかがみ,うがじん
宇戸	うと,うど
宇高	うたか,うだか
宇治橋	うじはし,うじばし
宇治郷	うじこう,うじごう
宇治川	うじかわ,うじがわ
宇宿	うしゅく,うすき,うすく
宇吹	うすい,うぶき
宇川	うかわ,うがわ
宇多	うた,うだ
宇多小路	うたこうじ,うたこぢ
宇地原	うじはら,うちはら
宇津	うつ,うづ
宇津宮	うつのみや,うつみや
宇津木	うつき,うつぎ
宇田川	うたがわ,うだがわ
宇都	うつ,うと,うど
宇都木	うつき,うつぎ
宇土	うと,うど
宇那木	うなき,うなぎ
宇良	うら,うりょう
烏田	うだ,からすだ
烏帽子田	えぼした,えぼしだ
烏野	うの,からすの
羽下	はが,はげ
羽角	はかく,はすみ
羽間	はざま,はま
羽金	はがね,はねかね
羽喰	はくい,はぐい
羽月	はつき,はづき
羽根川	はねかわ,はねがわ
羽坂	はさか,はざか
羽子田	はねた,はねだ
羽取	はとり,はどり
羽住	はすみ,はずみ,はづみ
羽深	はふか,はぶか
羽生	はにう,はにゅう,はぶ
羽生田	はにうだ,はにゅうだ
羽石	はいし,はねいし
羽川	はがわ,はねかわ
羽染	はそめ,はぞめ
羽倉	はくら,はぐら
羽谷	はたに,はだに
羽地	はじ,はねじ
羽中田	はちゅうだ,はなかた
羽鳥	はとり,はどり,はねとり
羽田	はた,はだ,はねた,はねだ
羽田野	はたの,はだの
羽島	はしま,はじま,はねしま
羽二生	はにう,はにゅう
羽入	はにゅう,はねいり
羽馬	はば,はま
羽白	はしろ,はじろ
羽部	はぶ,はべ
羽毛田	はけた,はけだ
羽里	はざと,はり
雨海	あまかい,あまがい
雨宮	あまみや,あめみや
雨坂	あまさか,あめさか
雨森	あまもり,あめのもり,あめもり
雨川	あまかわ,あめかわ
雨谷	あまがい,あまたに,あまや,あめたに,あめや
雨堤	あまつづみ,あまづつみ,あめつつみ,あめづつみ
雨田	あまだ,あめた,あめだ
雨島	あめしま,あめじま
雨澤	あめざわ,うざわ
卯花	うのはな,うばな
卯木	うき,うのき
鵜久森	うくもり,うぐもり
鵜飼	うかい,うがい
鵜狩	うかり,うがり
鵜川	うかわ,うがわ
浦崎	うらさき,うらざき
浦上	うらかみ,うらがみ
浦尻	うらしり,うらじり
浦谷	うらたに,うらや
浦添	うらそえ,うらぞえ
瓜生	うりう,うりゅう
瓜生原	うりうばら,うりゅうはら
瓜谷	うりたに,うりや
雲地	うんじ,くもじ
雲母	きら,きらら
雲林	うんりん,くもばやし
荏原	あいはら,えはら,えばら
栄	えい,さかい,さかえ
栄田	えいだ,さかえた,さかえだ
栄藤	えいとう,えとう
栄野比	えのひ,えのび
永	えい,なが,ながい
永栄	えいよう,ながえ
永園	ながその,ながぞの
永久	えいきゅう,ながひさ
永戸	えいと,ながと
永光	なかみつ,ながみつ
永坂	えいさか,ながさか
永崎	えいさき,ながさき
永森	えいもり,ながもり
永川	えいかわ,えがわ,ながかわ
永村	えむら,ながむら
永谷	ながたに,ながや
永地	えいじ,ながち
永長	えいなが,ながおさ
永島	えいしま,えいじま,ながしま
永藤	えいとう,ながとう,ながふじ
永富	ながとみ,ながどみ
永福	えいふく,ながふく
永淵	ながふち,ながぶち
永柄	えがら,ながえ
永野	えいの,ながの
永用	えいよう,ながよう
永来	えいらい,えら,ながき
永留	ながとめ,ながどめ
永廣	えひろ,ながひろ
永渕	ながふち,ながぶち
永澤	えいざわ,ながさわ
英	あなた,えい,はなふさ,はなぶさ
英賀	あが,えいが
英保	あぼ,えいほ
詠	ながみ,ながめ
益	えき,ます
益戸	ますと,ますど
益子	ましこ,ますこ
益田	ました,ますだ
越間	えつま,こしま
越湖	えっこ,こしこ
越坂	こしさか,こしざか
越坂部	おさかべ,こさかべ
越崎	えつさき,こしざき
越川	えちかわ,こしかわ
越前	えちぜん,こしまえ
越谷	こしたに,こしや
越地	こしじ,こしぢ
越智	おち,こえち
越中	えっちゅう,こしなか
越田	こした,こしだ
越路	こいじ,こいろ,こえじ,こしじ
榎原	えのきはら,えのはら,えはら,えばら
榎戸	えのきと,えのきど,えのと
榎坂	えさか,えのきざか
榎森	えのもり,えもり
榎村	えのむら,えむら
榎谷	えのきだに,えのたに
榎島	えのきじま,えのしま
榎畑	えのきはた,えのきばた
榎本	えのもと,えもと
円井	つぶらい,まるい
円山	えんざん,まるやま
円谷	えんや,つぶらや,つむらや
園城	えんじょう,おんじょう,そのき,そのしろ
延	のぶ,のべ
延岡	のぶおか,のべおか
延原	のぶはら,のべはら
延山	のぶやま,のべやま
延川	のぶかわ,のべかわ
延沢	のぶさわ,のべざわ
延谷	のぶたに,のべたに
延田	のぶた,のべた
延島	のぶしま,のべしま
延藤	えんどう,のぶとう
延澤	のぶさわ,のべさわ
煙山	けむやま,けむりやま
猿橋	さはし,さるはし
猿子	さるこ,ましこ
猿谷	さるたに,さるや
猿渡	えんど,さるわたり,さわたり
遠間	とうま,とおま
遠座	えんざ,おんざ
遠山	とうやま,とおやま
遠城	えんじょう,おんじょう
遠谷	えんたに,とおや
遠田	えんた,えんだ,とおだ
遠島	とおしま,とおじま
遠嶋	とおしま,とおじま
遠峰	とうみね,とおみね
遠矢	とうや,とおや
鴛海	おしうみ,おしのみ
塩原	しおはら,しおばら
塩崎	しおさき,しおざき
塩生	しおにゅう,しおの
塩多	しおた,しおだ
塩谷	えんや,しおたに,しおのや,しおや
塩地	しおじ,しおち
塩津	しおつ,しおづ
塩塚	しおつか,しおづか
塩田	しおた,しおだ
塩梅	あんばい,しおうめ
塩飽	しあき,しあく,しおあき,しわく
塩澤	しおざわ,しおつ
於久	おく,おぐ
於保	おほ,おぼ
奥宮	おくのみや,おくみや
奥原	おくはら,おくばら
奥戸	おくと,おくど
奥沢	おくさわ,おくざわ
奥谷	おくたに,おくや
奥田	おくた,おくだ
奥島	おくしま,おくじま
奥嶋	おくしま,おくじま
奥藤	おくとう,おくふじ
奥平	おくだいら,おくひら
奥坊	おくぼ,おくぼう
奥里	おくさと,おくざと
奥澤	おくさわ,おくざわ
押	おさえ,おし
押井	おさい,おしい
押上	おしあげ,おしかみ,おしがみ
押切	おしきり,おしぎり
押樋	おうとい,おおとい
横家	よこいえ,よこや
横関	よこせき,よこぜき
横崎	よこさき,よこざき
横須賀	よこすか,よこすが
横川	よこかわ,よこがわ
横沢	よこさわ,よこざわ
横谷	よこたに,よこや
横地	よこち,よこぢ
横塚	よこつか,よこづか
横島	よこしま,よこじま
横畠	よこはた,よこばたけ
横尾	よこお,よこを
横堀	よこほり,よこぼり
横木	よこき,よこぎ
横野	おおの,よこの
横路	よこみち,よころ
横澤	よこさわ,よこざわ
王丸	おうまる,おおまる
王子谷	おうじたに,おおじや
王子田	おうしでん,おうじだ
王鷲	おうわし,おおわし
翁	おう,おきな
黄海	おうみ,きうみ
黄地	おうじ,おうち
黄田	きだ,こうだ
黄木	おうき,おうぎ,おおき
岡上	おかうえ,おかがみ,おかのうえ
岡城	おかき,おかぎ
岡谷	おかたに,おかのや,おかや
岡端	おかはた,おかはな,おかばた
岡地	おかじ,おかち,おかぢ
岡登	おかと,おかのぼり
岡南	おかなみ,おかなん
沖田	おきた,おきだ
荻原	おぎはら,おぎわら
荻生	おぎう,おぎゅう
荻谷	おぎたに,おぎや
荻布	おぎぬの,おぎの
屋嘉部	やかぶ,やかべ
屋宜	やぎ,やじ
屋形	やかた,やがた
屋部	やぶ,やべ
屋本	おくもと,やもと
桶屋	おけや,ひおく
桶川	おけかわ,おけがわ
桶谷	おけたに,おけや
乙黒	おつぐろ,おとぐろ
乙骨	おっこつ,おつこつ
乙川	おつかわ,おとかわ,おとがわ
乙津	おつ,おとづ
乙幡	おっぱた,おつはた,おつぱた,おとはた
恩地	おんじ,おんち,おんぢ
恩田	おんた,おんだ
音琴	おとごと,ねごと
音川	おとかわ,おとがわ
音田	おとだ,おんだ
音頭	おんど,おんどう
下	した,しも
下雲	したくも,しもくも
下河	しもかわ,しもがわ
下河原	しもかわら,しもがわら
下河内	しもこうち,しもごうち
下河辺	しもかわべ,しもこうべ
下垣	したがき,しもがき
下垣内	しもがいち,しもがいと
下間	しもつま,しもま
下久保	したくぼ,しもくぼ
下休場	したやすんば,しもやすば
下郷	しもごう,しもざと
下見	したみ,しもみ
下原	したはら,しもはら
下戸	おりと,かと,さげど,しもと,しもど
下向	したむかい,しもむかい,しもむき
下妻	しもずま,しもつま,しもづま
下坂	したさか,しもさか
下崎	しもさき,しもざき
下司	げし,げじ,しもし,しもじ,しもつか,しもつかさ
下志万	しもしま,しもじま
下重	しもしげ,しもじゅう
下出	しもいで,しもで
下小路	したこうじ,しもこうじ
下条	げじょう,しもじょう
下森	げもり,したもり,しももり
下清水	したしみず,しもしみず
下西	したにし,しもにし
下川	しもかわ,しもがわ
下川原	しもかわら,しもがわら
下谷	しただに,しもたに,しもや
下地	しもじ,しもち,しもぢ
下中	したなか,しもなか
下津	しもつ,しもづ
下内	しもうち,しもち
下之薗	しものその,しものぞの
下迫	したさこ,しもさこ
下畑	しもはた,しもばた
下飯	しもい,しもいい
下平	しもだいら,しもひら
下保	かほ,しもやす
下方	したかた,しもかた
下坊	したぼう,しもぼう
下末	したすえ,しもすえ
下門	しもかど,しもじょう,しもん
下里	しもさと,しもざと
下嶽	しもたけ,しもだけ
下條	げじょう,しもじょう
下澤	しもさわ,しもざわ
仮谷	かりたに,かりや
佳山	かやま,よしやま
加悦	かえつ,かや
加賀谷	かがたに,かがや
加計	かけ,かけい
加戸	かと,かど
加持	かじ,かもち
加瀬谷	かせがい,かせたに,かせや
加勢	かせ,かせい
加太	かだ,かぶと
加谷	かたに,かや
加地	かじ,かち,かぢ
加登	かと,かとう
加島	かしま,かじま
加納	かの,かのう
加幡	かば,かばた
加畑	かはた,かばた,かぱた
加部東	かぶと,かぶとう
加木	かき,かぎ
加覧	からん,がらん
可児	かじ,かに
嘉戸	かと,かど
嘉手苅	かてかり,かてがり,かてがる,かでかる
嘉手川	かてがわ,かでかわ
嘉手納	かてな,かでな
嘉数	かかず,かすう
嘉瀬	かせ,かぜ
嘉村	かむら,よしむら
嘉納	かのう,きな
嘉野	かの,よしの
夏越	なつこし,なつごえ
夏苅	なつかり,なつがり
夏堀	なつほり,なつぼり
家垣	いえがき,やがき
家亀	いえかめ,やがめ
家郷	いえごう,いえさと
家口	いえぐち,かぐち
家高	いえたか,やたか,やだか
家崎	いえさき,いえざき
家治	いえじ,かじ,やじ
家守	かもり,やもり
家城	いえき,やしろ
家森	いえもり,やもり
家塚	いえつか,いえづか
家島	いえしま,いえじま
家本	いえもと,けもと
歌津	うたつ,うたづ
河角	かわかど,かわすみ
河原	かわはら,かわら,ごうばら
河原井	かわはらい,かわらい
河原崎	かわらさき,かわらざき
河原田	かわはらだ,かわらだ
河戸	かわと,かわど
河口	かわぐち,こうぐち
河済	かわすみ,かわずみ
河澄	かわすみ,かわずみ
河西	かさい,かわにし
河相	かあい,かわあい,かわい
河村	かわむら,こうむら
河谷	かわたに,こうたに
河端	かわはた,かわばた
河地	かわじ,かわち
河津	かわず,かわつ,かわづ,こうつ
河添	かわそい,かわそえ,かわぞえ
河田	かわた,かわだ
河島	かわしま,こうしま
河東	かとう,かわとう,かわひがし
河内	かわうち,かわち,こうち
河内山	かわちやま,こうちやま
河南	かわなみ,かわみなみ,かんなん
河埜	かわの,こうの
河辺	かべ,かわなべ,かわべ,こうべ
河本	かわもと,こうもと
河面	かわづら,こうも
河野	かわの,こうの,こおの
河渕	かわぶち,こうぶち
河邉	かわべ,こうべ
火原	ひはら,ひばら
花﨑	はなさき,はなざき
花家	はないえ,はなけ
花角	はなかど,はなずみ
花見	けんみ,はなみ
花原	はなはら,はなばら
花崎	はなさき,はなざき
花山院	かさのいん,かさんのいん
花谷	はなたに,はなや
花田	はなた,はなだ
花島	はなしま,はなじま
花嶋	はなしま,はなじま
花畑	はなはた,はなばた
花房	はなふさ,はなぶさ
花里	はなさと,はなざと
茄子川	なすかわ,なすがわ
荷宮	にのみや,にみや
荷川取	にかどり,にかわどり
華表	かひょう,とりい
蚊爪	かがつめ,かづめ
我妻	あがつま,あずま,あづま,わがつま
我謝	がしゃ,がじゃ
我谷	がや,わがたに
我部	がぶ,がべ
我満	がまん,わがみつ
賀内	かうち,がうち
会田	あいた,あいだ
廻	まわり,めぐり,めぐる
廻田	かいだ,さこた
改田	かいだ,かいでん
海﨑	うみざき,かいざき
海原	うなばら,うみはら,かいはら
海山	うみやま,かいさん,かいざん,わだやま
海住	かいじゅう,かいずみ
海上	うなかみ,うながみ,かいじょう
海瀬	うみせ,かいせ
海川	うみかわ,かいかわ
海地	うみじ,うみぢ
海津	うみづ,かいず,かいづ
海田	うみだ,かいた,かいだ,かいでん
海渡	かいと,かいど
海東	かいとう,かいどう
海藤	かいとう,かいどう
海内	うみうち,かいだい,かいない
海部	かいふ,かいべ
海辺	うみべ,かいべ
海堀	かいほり,かいぼり
海本	うみもと,かいもと
海野	うの,うみの,うんの,かいの
海老	えび,かいろう
海老子川	えびしかわ,えびしがわ
海老沢	えびさわ,えびざわ
海老澤	えびさわ,えびざわ
海渕	うみふち,かいふち,かいぶち
灰原	かいはら,かいばら
灰谷	はいたに,はいや
灰庭	はいにわ,はいば
皆月	みなつき,みなづき
皆元	かいもと,みなもと
皆合	かいごう,みなあい
皆川	みなかわ,みながわ
皆藤	かいとう,かいどう
皆木	みなき,みなぎ
絵内	えうち,えない
絵面	えずら,えづら
芥川	あいかわ,あくたがわ
開	かい,ひらき
開原	かいはら,ひらきばら
開坂	かいさか,かいざか
開田	かいだ,ひらきだ
開発	かいはつ,かいほつ
開米	かいごめ,かいまい
開澤	かいざわ,ひらきざわ
貝原	かいはら,かいばら
貝川	かいかわ,かいがわ
貝沢	かいさわ,かいざわ
貝谷	かいたに,かいや
貝塚	かいつか,かいづか
貝田	かいた,かいだ
貝淵	かいふち,かいぶち
外賀	げか,げが
外海	そとみ,とのがい
外間	そとま,ほかま
外丸	そとまる,とまる
外口	そとぐち,とぐち
外崎	そとざき,とのさき,とのざき
外山	そとやま,とやま
外川	そとかわ,とがわ
外村	とのむら,とむら,ほかむら
外谷	そとや,とや
外池	といけ,とのいけ
外田	そとだ,ほかだ
外尾	そとお,ほかお
外木	そとき,とのき
外立	そとだて,はしだて
鎧	あぶみ,よろい
垣花	かきのはな,かきはな
垣見	かきみ,かけひ
垣内	かいと,かいとう,かきうち
柿沢	かきさわ,かきざわ
柿谷	かきたに,かきだに,かきや
柿迫	かきさこ,かきざこ
柿平	かきだいら,かきひら
柿木	かきき,かきぎ,かきのき
柿木原	かきのきはら,かきはら
柿澤	かきさわ,かきざわ
